Cell ID,Decay index
1,1.0113195288156291
2,1.0196871040566855
3,0.9498791898509382
4,0.9721528242904344
5,1.0089945986996205
6,1.045323373286722
7,0.9846320778655312
8,0.9312395160339456
9,1.2489420068007404
10,1.2305925070842514
11,1.2901739519884476
12,1.0669985857622104
13,1.0526349593996838
14,1.3794809355865902
15,1.0685868998064694
16,1.0839416024994497
17,1.4218460458685314
18,1.1289506723317488
19,1.008369153680864
20,1.1336343474735615
21,1.0078433713118382
22,1.0067413061022192
23,0.9952931085479206
24,1.0011662326655504
25,1.0953246080880763
26,1.028351723994341
27,1.47228132322662
28,0.9983456040843572
29,1.0443460604022012
30,1.312263982349343
31,1.0197402116281682
32,1.0783974758154389
33,1.015450782029384
34,1.0377080480321947
35,1.5391605428045985
36,1.0012554137379617
37,1.0345419004086969
38,1.0845359805085422
39,1.17571905144707
40,1.0316994928399759
41,0.9960325305672624
42,1.0122022595617808
43,1.0192911761263441
44,1.0128271070001924
45,1.0458812228178216
46,1.0299333381774711
47,1.0185576933916063
48,0.998896573169135
49,0.9146566244779284
50,1.0735356717624471
51,1.0381391303716827
52,1.1425237181961725
53,1.0526375972955468
54,0.9979469584387052
55,0.9912841269128824
56,0.9864931152511126
57,0.99384804409437
58,1.0674004726686352
59,0.9966930521273808
60,1.4107065747471037
61,1.0097093015839345
62,1.1146623320500249
63,0.9916571038586084
64,0.958958069901384
65,0.9941182975206736
66,1.0125408019026356
67,1.1359809822642242
68,0.9331322802549772
69,1.0603646076314397
70,0.9959038773647984
71,0.998919723295229
72,1.1155712613563793
73,0.9971234808828088
74,1.0437003464697
75,1.00168130006789
